File_path,Speaker name,utt,group
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MRCS0/SA2.WAV,MRCS0,SA2,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MRCS0/SX53.WAV,MRCS0,SX53,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MRCS0/SA1.WAV,MRCS0,SA1,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MRCS0/SX143.WAV,MRCS0,SX143,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MRCS0/SI1853.WAV,MRCS0,SI1853,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MRCS0/SX233.WAV,MRCS0,SX233,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MRCS0/SI1223.WAV,MRCS0,SI1223,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MRCS0/SX413.WAV,MRCS0,SX413,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MRCS0/SI593.WAV,MRCS0,SI593,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MRCS0/SX323.WAV,MRCS0,SX323,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/FLAS0/SA2.WAV,FLAS0,SA2,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/FLAS0/SI858.WAV,FLAS0,SI858,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/FLAS0/SI1026.WAV,FLAS0,SI1026,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/FLAS0/SA1.WAV,FLAS0,SA1,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/FLAS0/SX408.WAV,FLAS0,SX408,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/FLAS0/SI1488.WAV,FLAS0,SI1488,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/FLAS0/SX138.WAV,FLAS0,SX138,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/FLAS0/SX228.WAV,FLAS0,SX228,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/FLAS0/SX318.WAV,FLAS0,SX318,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/FLAS0/SX48.WAV,FLAS0,SX48,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MPAB0/SA2.WAV,MPAB0,SA2,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MPAB0/SA1.WAV,MPAB0,SA1,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MPAB0/SI1128.WAV,MPAB0,SI1128,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MPAB0/SX408.WAV,MPAB0,SX408,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MPAB0/SI1103.WAV,MPAB0,SI1103,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MPAB0/SX138.WAV,MPAB0,SX138,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MPAB0/SI498.WAV,MPAB0,SI498,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MPAB0/SX228.WAV,MPAB0,SX228,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MPAB0/SX318.WAV,MPAB0,SX318,TIMIT
/nvme3/Datasets/WJ/TIMIT/TEST/DR7/MPAB0/SX48.WAV,MPAB0,SX48,TIMIT
